OBJECTID,RWCOMPKEY,FROM_ADDRE,TO_ADDRESS,ROADNAME,DIR,STRNAME,TYPE,LOCROSSPR,LOCROSSNA,LOCROSSSU,HICROSSPR,HICROSSNA,HICROSSSU,MUNI_NAME,COUNDIST,OWNER_NAME,CORE_CLASS,ROUTE_LBL,LENGTH,PRIORITY_R,ROUTE_UNIQ,CORRIDOR_N,BEGIN_LOCA,BMP,END_LOCATI,EMP,TOTAL_EPDO,EPDO_MILE,TOTAL_KA_C,KA_MILE,JUSTICE40_,PERCENT_JU,OWNER,SHAPELEN
1,20596,1340,1349,BARDSTOWN RD, ,BARDSTOWN,RD, ,CHEROKEE,PKY, ,WINDSOR,PL,LOUISVILLE,8,STATE,MAJOR ARTERIAL,US-31E,5.8,16,056-US-0031E -000,Beuchel Byp / Bardstown Rd / Baxter Ave,Hikes Lane (KY 2052),10.974,E Main St (US 31E),16.774,17471,3012.24137931,41,7.1,1.878,0.3237931,KYTC,187.45805844591
2,16637,1012,1027,S 26TH ST,S,26TH,ST,W,KENTUCKY,ST, ,GREENWOOD,AVE,LOUISVILLE,4,METRO,MINOR ARTERIAL, ,1.846,27,056-CS-1038F -000,S 26th St,W Main St (CS-1011A),0,Wilson Ave (CS-1025F),1.846,4784,2591.54929577,10,5.4,1.846,1,METRO,276.472873895433
3,25128,8925,9014,PRESTON HWY, ,PRESTON,HWY, ,CREEK POINTE,TER, ,GILLS,CT,LOUISVILLE,24,STATE,MAJOR ARTERIAL,KY-61,7.502,9,056-KY-0061  -000,Preston Hwy,Cooper Chapel Rd / Commerce Crossings Dr (KY 6299),1.401,Hart Ave,8.903,25969,3461.61023727,77,10.26392962,4.884,0.65102639,KYTC,784.49432921116
4,16462,600,699,E BROADWAY,E,BROADWAY, ,S,HANCOCK,ST,S,CLAY,ST,LOUISVILLE,4,STATE,MAJOR ARTERIAL,US-150,3.3535,1,056-US-0150  -000,Broadway,S 22nd St (US 31W-001),0.7405,Baxter Ave (US 31E),4.094,19419.4,5792,48,14.30913698,3.353,1,KYTC,586.103275492864
5,18530,2137,2159,DIXIE HWY, ,DIXIE,HWY, ,RATCLIFFE,AVE, ,WINGFIELD,LN,LOUISVILLE,3,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,155.815070780034
6,29922,3530,3599,TAYLOR BLVD, ,TAYLOR,BLVD, ,HATHAWAY,AVE, ,CARLISLE,AVE,LOUISVILLE,15,STATE,MAJOR ARTERIAL,KY-1865,5.273,5,056-KY-1865  -000,Taylor Blvd / New Cut Rd,Gene Snyder Fwy (KY 841),0.92,Berry Blvd (US 60A),6.193,20222,3835.00853404,51,9.67191352,4.556,0.86402427,KYTC,403.880649575543
7,18631,2200,2299,DIXIE HWY, ,DIXIE,HWY, ,HAROLD,AVE, ,HARDESTY,AVE,LOUISVILLE,3,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,606.78288629427
8,29181,12900,12999,DIXIE HWY, ,DIXIE,HWY, ,CHISM,RD, ,BRUNER,LN,LOUISVILLE,14,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,322.134315046992
9,18887,700,790,EASTERN PKY, ,EASTERN,PKY, ,ELLSWORTH,AVE,S,PRESTON,ST,LOUISVILLE,15,STATE,MAJOR ARTERIAL,US-60A,3.523,40,056-US-0060A -000,Eastern Pkwy,S 3rd St (KY 1020),3.409,Willow Ave (US 60A),6.932,8026,2278.17201249,22,6.24467783,1.154,0.32756174,KYTC,790.348329247587
10,23190,4330,4339,TAYLOR BLVD, ,TAYLOR,BLVD, ,OAKWOOD,AVE, ,OAKWOOD,AVE,LOUISVILLE,15,STATE,MAJOR ARTERIAL,KY-1865,5.273,5,056-KY-1865  -000,Taylor Blvd / New Cut Rd,Gene Snyder Fwy (KY 841),0.92,Berry Blvd (US 60A),6.193,20222,3835.00853404,51,9.67191352,4.556,0.86402427,KYTC,119.442213983374
11,30884,4406,4415,CANE RUN RD, ,CANE RUN,RD, ,KRISTIN,WAY, ,RICHMONT,RD,LOUISVILLE,1,STATE,MAJOR ARTERIAL,KY-1934,11.502,21,056-KY-1934  -000,Greenbelt Hwy / Cane Run Rd,Gene Snyder Fwy (KY 841),0,Algonquin Pkwy (KY 2054),11.502,31389,2729.00365154,100,8.69414015,9.201,0.79994784,KYTC,190.021719564501
12,17197,1300,1309,S 22ND ST,S,22ND,ST,W,ORMSBY,AVE, ,WILSON,AVE,LOUISVILLE,6,STATE,MAJOR ARTERIAL,US-31W,1.145,8,056-US-0031W -000,S 22nd St / Bernheim Ln,Dixie Hwy (CS-1030F),17.51,Dumesnil St (CS-1010F),18.655,4100,3580.7860262,11,9.6069869,1.145,1,KYTC,276.736843518886
13,16453,800,849,DIXIE HWY, ,DIXIE,HWY, ,MAPLE,ST,W,BRECKINRIDGE,ST,LOUISVILLE,4,METRO,MINOR ARTERIAL, ,2.008,29,056-CS-1030F -000,Dixie Hwy,W Broadway (US 150),0,Bernheim Lane (US 31W),2.008,5174,2576.69322709,13,6.47410359,2.008,1,METRO,861.846782293439
14,9389,8800,8899,SHELBYVILLE RD, ,SHELBYVILLE,RD, ,BELLEMEADE,RD,S,CHADWICK,RD,LOUISVILLE,18,STATE,MAJOR ARTERIAL,US-60,1.413,53,056-US-0060  -000,Shelbyville Rd,Whipps Mill Rd (CS-1005C),6.435,Hurstbourne Pkwy (KY 1747),7.848,2682,1898.08917197,8,5.66171267,0,0,KYTC,1147.10117669617
15,15050,2100,2199,W MAIN ST,W,MAIN,ST, ,DR W J HODGE,ST,N,22ND,ST,LOUISVILLE,5,STATE,MAJOR ARTERIAL,US-31W,1.751,45,056-US-0031W -001,W Main St,N 22nd St (US 150),20.345,S 2nd St (US 31),22.096,3743,2137.635637,10,5.711022,1.751,1,KYTC,480.510312878727
16,22540,4330,4399,S 3RD ST,S,3RD,ST,W,LANSING,AVE, ,I 264 RAMP, ,LOUISVILLE,21,METRO,MINOR ARTERIAL, ,2.667,34,056-CS-1013F -000,S 3rd St (CS-1013F),Southern Pkwy (KY 1020),0,W Kenwood Dr (CS-1257F),2.667,6840,2445.4772971,19,6.79299249,2.797,1,METRO,506.147938682752
17,17060,1200,1219,S 26TH ST,S,26TH,ST,W,OAK,ST, ,DUMESNIL,ST,LOUISVILLE,1,METRO,MINOR ARTERIAL, ,1.846,27,056-CS-1038F -000,S 26th St,W Main St (CS-1011A),0,Wilson Ave (CS-1025F),1.846,4784,2591.54929577,10,5.4,1.846,1,METRO,303.158851941005
18,27124,4900,4909,DIXIE HWY, ,DIXIE,HWY, ,LEWISTON,DR, ,BRICK KILN,LN,LOUISVILLE,12,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,272.387574118099
19,27424,5600,5999,DIXIE HWY, ,DIXIE,HWY, ,WELBY,RD, ,LOWER HUNTERS,TRCE,LOUISVILLE,12,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,136.943750545918
20,16078,2400,2599,W BROADWAY,W,BROADWAY, ,S,24TH,ST,S,26TH,ST,LOUISVILLE,4,METRO,MAJOR ARTERIAL, ,1.19,3,056-CS-1021F -000,W Broadway,S 22nd St (US 31W-001),0,S 35th St (north leg),1.19,6262,5262.184874,19,15.966387,1.19,1,METRO,952.702561968762
21,8251,3200,3216,HIKES LN, ,HIKES,LN, ,ROSS,BLVD, ,CLINGSTONE,WAY,LOUISVILLE,26,METRO,MINOR ARTERIAL, ,2.399,36,056-CR-1002G -000,Hikes Lane,Buechel Byp (US 31E),0.797,Taylorsville Rd (KY 155),3.196,5776,2407.66986244,15,6.25260525,0.191,0.07961651,METRO,525.191562710491
22,31591,3100,3109,BRECKENRIDGE LN, ,BRECKENRIDGE,LN, ,CHURCHILL PARK,DR, ,BEARGRASS RUN,PL,LOUISVILLE,26,STATE,MINOR ARTERIAL,KY-1932,3.189,37,056-KY-1932  -000,Breckenridge Ln,Six Mile Ln (CR-1002H),1.129,Milford Lane Connector,4.318,7558,2370.02195045,17,5.33082471,0,0,KYTC,1177.75721125521
23,8248,3228,3231,HIKES LN, ,HIKES,LN, ,WHITEHALL,TER, ,EL PATIO,PL,LOUISVILLE,26,METRO,MINOR ARTERIAL, ,2.399,36,056-CR-1002G -000,Hikes Lane,Buechel Byp (US 31E),0.797,Taylorsville Rd (KY 155),3.196,5776,2407.66986244,15,6.25260525,0.191,0.07961651,METRO,48.883063514843
24,23967,5070,5074,POPLAR LEVEL RD, ,POPLAR LEVEL,RD, ,HANSES,DR, ,ROEDERER,DR,LOUISVILLE,2,STATE,MAJOR ARTERIAL,KY-864,7.117,41,056-KY-0864  -000,Poplar Level Rd,Fern Valley Rd (KY 1747),6.596,Eastern Pkwy (US 60A),13.713,16064,2257.13081355,44,6.18238022,4.725,0.66390333,KYTC,323.362364315846
25,24581,3200,3299,OUTER LOOP, ,OUTER,LOOP, ,I 65 RAMP, , ,I 65 RAMP, ,LOUISVILLE,13,STATE,MAJOR ARTERIAL,KY-1065,3.531,42,056-KY-1065  -000,Outer Loop,National Turnpike (KY 1020),2.514,Preston Hwy (KY 61),6.045,7853,2224.01585953,20,5.66411781,3.311,0.9376947,KYTC,775.278490741571
26,27366,5300,5314,DIXIE HWY, ,DIXIE,HWY, ,KURZ,WAY, ,FLINTLOCK,DR,LOUISVILLE,12,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,461.340304757863
