X,Y,OBJECTID,UNITID,SIGID,MAINSTREET,CROSSSTREET,OWNER2,ROUTE,MILEPOINT,DESCRIPTION,TIMES,OWNER,TYPE,INTID,ATMSID
1281754.0,283064.3125,1,MPW017206,SIG017206,OLD HENRY,I 265 RAMP,S,KY-3084,1.25,OLD HENRY @ I 265 RAMP,24 HOURS,KYTC,1,   76747569996,
1281857.0,272485.625,2,MPW017211,SIG017211,SHELBYVILLE,BECKLEY WOODS,S,US 60,12.291,SHELBYVILLE @ BECKLEY WOODS,24 HOURS,KYTC,1,   78959406728,
1283267.27,272076.037499994,3,MPW017290,SIG017290,SHELBYVILLE,LAKE FOREST,S,US-60,12.58,SHELBYVILLE @ LAKE FOREST,24 HOURS,KYTC,1,  123759407630,
1261619.0,298048.03125,4,MPW015159,SIG015159,BROWNSBORO,I 265 RAMP,S,KY-22,3.7,BROWNSBORO @ I 265 RAMP,24 HOURS,KYTC,1,  143907249996,
1244902,288428,5,MPW011726,SIG011726,HERR,LIME KILN,S,KY-22,0.44,HERR @ LIME KILN,24 HOURS,KYTC,1,  184229013860,
1243600.5,288437.65625,6,MPW011500,SIG011500,U S HIGHWAY 42,HOLIDAY MANOR,S,US-42,6.13,U S HIGHWAY 42 @ HOLIDAY MANOR,24 HOURS,KYTC,1,  187067127686,
1251698.875,279133.875,7,MPW013156,SIG013156,LYNDON,NEW LA GRANGE,S,KY-146,0.98,LYNDON @ NEW LA GRANGE,24 HOURS,KYTC,1,  235327744625,
1244134.48375,276386.787499994,8,MPW011581,SIG011581,BRAMTON,SHELBYVILLE,S,US-60,4.95,BRAMTON @ SHELBYVILLE,24 HOURS,KYTC,1,  262606465940,
1244654.25,276331.5625,9,MPW011670,SIG011670,STONEHENGE,SHELBYVILLE,S,US-60,5.05,STONEHENGE @ SHELBYVILLE,24 HOURS,KYTC,1,  263000555940,
1242350.125,276605.125,10,MPW011296,SIG011296,FAIRMEADE,SHELBYVILLE,S,US-60,4.61,FAIRMEADE @ SHELBYVILLE,24 HOURS,KYTC,1,  264621205940,
1232937.5,266380.75,11,MPW009450,SIG009450,BON AIR,PEE WEE REESE,S,KY-155,15.652,BON AIR @ PEE WEE REESE,24 HOURS,KYTC,1,  312405959397,
1247228.875,266177.9375,12,MPW012210,SIG012210,BROWNS,LOWE,M,,,BROWNS @ LOWE,24 HOURS,METRO,1,  313107233967,
1244550.25,265148.875,13,MPW011654,SIG011654,TAYLORSVILLE,YORKSHIRE,S,KY-155,13.442,TAYLORSVILLE @ YORKSHIRE,24 HOURS,KYTC,1,  318763947434,
1245179.125,265087.375,14,MPW011780,SIG011780,BROWNS,HIKES,S,KY-155,13.314,BROWNS @ HIKES,24 HOURS,KYTC,1,  319207232930,
1231761.5,262657.96875,15,MPW009242,SIG009242,BARDSTOWN,GARDINER,S,US-31E,12.133,BARDSTOWN @ GARDINER,24 HOURS,KYTC,1,  338103842479,
1252379.375,292509.25,16,MPW013311,SIG013311,BROWNSBORO,BARBOUR,S,KY-22,1.71,BROWNSBORO @ BARBOUR,24 HOURS,KYTC,1,  428707248262,
1260113.25,280572.40625,17,MPW014859,SIG014859,ORMSBY STATION,HURSTBOURNE,S,KY-1747,14.76,ORMSBY STATION @ HURSTBOURNE,24 HOURS,KYTC,1,  448089749125,
1242946.75,287525.3125,18,MPW011392,SIG011392,BROWNSBORO,NORTHFIELD,S,US-42,5.92,BROWNSBORO @ NORTHFIELD,24 HOURS,KYTC,1,  459007243105,
1270123.48875,263665.296250001,19,MPW016351,SIG016351,BLUEGRASS,BLANKENBAKER,S,KY-913,2.26,BLUEGRASS @ BLANKENBAKER,24 HOURS,KYTC,1,  487305747624,
1253308.5,264367.3125,20,MPW013501,SIG013501,BLOWING TREE,TAYLORSVILLE,S,KY-155,11.79,BLOWING TREE @ TAYLORSVILLE,24 HOURS,KYTC,1,  591905636394,
