OBJECTID,ROADNAME,RWCOMPKEY,SCFKEY,ROUTE,RESPONSE,PRIORITY,SNOW_DIST,STATE,STATE_OWND,CL_MILES,LANE_MILES,SHAPELEN
1,FENLEY AVE,7069,,E09,EAST,,E,0,No,0,28.91,405.122964138656
2,N CLIFTON AVE,15327,,E18,EAST,,E,0,No,0,18.44,446.07805283249
3,CEDAR ST,15283,,S03,SWMS,,S,0,No,0,25.44,337.592648107523
4,LYNNBROOK DR,4050,,E12,EAST,,E,0,No,0,24.29,742.631295088751
5,CHICKASAW AVE,15163,,E18,EAST,,E,0,No,0,18.44,798.305107847464
6,TEXAS AVE,18617,,P02,PARKS,,P,0,No,0,18.61,754.112938508404
7,SUMMERFIELD DR,5153,,C20,CENTRAL,,C,0,No,0,35.53,764.971249720552
8,PRYOR AVE,14993,,E18,EAST,,E,0,No,0,18.44,164.059319745647
9,FRANKFORT AVE,15100,,E09,EAST,,E,0,No,0,28.91,1359.10258194157
10,FRANKFORT AVE,31957,,E09,EAST,,E,0,No,0,28.91,507.796904264885
11,CEDAR ST,15316,,S03,SWMS,,S,0,No,0,25.44,357.582056461346
12,BLACKBURN AVE,7050,,E09,EAST,,E,0,No,0,28.91,1050.50569148019
13,JARVIS LN,21112,,E18,EAST,,E,0,No,0,18.44,331.817731144331
14,TEXAS AVE,17967,,P02,PARKS,,P,0,No,0,18.61,380.761385698902
15,N PETERSON AVE,20780,,E18,EAST,,E,0,No,0,18.44,742.406887238102
16,BLACKBURN AVE,7063,,E09,EAST,,E,0,No,0,28.91,112.407263409883
17,TEXAS AVE,17889,,P02,PARKS,,P,0,No,0,18.61,391.298487816911
18,ENGLISH STATION WAY,30790,,E23,EAST,,E,0,No,0,28.47,892.941462571263
19,TEXAS AVE,18641,,P02,PARKS,,P,0,No,0,18.61,564.352713432434
20,LYNNBROOK DR,4135,,E12,EAST,,E,0,No,0,24.29,335.507805162119
21,LYNNBROOK DR,4111,,E12,EAST,,E,0,No,0,24.29,313.054703441033
22,FENLEY AVE,7058,,E09,EAST,,E,0,No,0,28.91,1073.05238768355
23,S 27TH ST,15382,,S03,SWMS,,S,0,No,0,25.44,283.249567061673
24,JARVIS LN,14920,,E18,EAST,,E,0,No,0,18.44,372.235795216176
25,FENLEY AVE,7048,,E09,EAST,,E,0,No,0,28.91,561.96562989092
26,PRYOR AVE,15018,,E18,EAST,,E,0,No,0,18.44,96.4840943963856
27,SUMMERFIELD DR,5085,,C20,CENTRAL,,C,0,No,0,35.53,417.656581948526
28,LIGHTFOOT RD,39484,,E09,EAST,,E,0,No,0,28.91,219.031265281592
29,LIGHTFOOT RD,2720,,E09,EAST,,E,0,No,0,28.91,222.570312794729
30,CIRCLE HILL RD,3836,,C16,CENTRAL,,C,0,No,0,27.27,1330.03040577666
31,CIRCLE HILL RD,3838,,C16,CENTRAL,,C,0,No,0,27.27,345.205643507132
32,FRANKFORT AVE,15104,,E09,EAST,,E,0,No,0,28.91,46.2321406252418
33,FRANKFORT AVE,15181,,E09,EAST,,E,0,No,0,28.91,235.444599886325
34,FRANKFORT AVE,15145,,E09,EAST,,E,0,No,0,28.91,197.3969420435
35,JARVIS LN,21113,,E18,EAST,,E,0,No,0,18.44,285.792381419539
36,CEDAR ST,15263,,S03,SWMS,,S,0,No,0,25.44,480.824393782439
37,PRYOR AVE,14963,,E18,EAST,,E,0,No,0,18.44,444.02904533048
38,LYNNBROOK DR,4089,,E12,EAST,,E,0,No,0,24.29,321.689467159324
39,CEDAR ST,15301,,S03,SWMS,,S,0,No,0,25.44,476.568277546946
40,JARVIS LN,14844,,E18,EAST,,E,0,No,0,18.44,853.840234967074
41,LIGHTFOOT RD,2664,,E09,EAST,,E,0,No,0,28.91,484.191727951473
42,LYNNBROOK DR,4094,,E12,EAST,,E,0,No,0,24.29,168.781015668232
43,JARVIS LN,14507,,E18,EAST,,E,0,No,0,18.44,791.362342855827
44,N JANE ST,20807,,E18,EAST,,E,0,No,0,18.44,733.383869719678
